_id,YEAR,MONTH,DISTRICT,PRECIPITATION,SURFACE_PRESSURE,HUMIDITY_AT_2M,RELATIVE_HUMIDITY_2M,TEMP_2M,WET_BULB_TEMP_2M,TEMP_2M_MAX,TEMP_2M_MIN,SURFACE_TEMP,WIND_SPEED_10M,WIND_SPEED_10M_MAX,WIND_SPEED_10M_MIN
1,1981,1,Arghakhanchi,67.31,93.78,5.28,53.09,13.03,3.34,19.17,9.14,11.19,2.01,3.39,0.81
2,1981,2,Arghakhanchi,3.37,93.52,5.13,40.88,16.67,2.94,24.41,11.33,15.1,2.58,4.88,0.95
3,1981,3,Arghakhanchi,26.02,93.4,5.91,35.84,20.83,4.84,28.31,14.79,20.58,2.73,4.67,1.02
4,1981,4,Arghakhanchi,46.15,93.03,6.52,29.81,25.5,5.94,33.42,18.38,25.63,2.89,4.78,1.07
5,1981,5,Arghakhanchi,69.45,92.75,9.95,37.25,28.89,12.45,35.7,22.28,29.99,2.69,4.4,0.93
6,1981,6,Arghakhanchi,110.77,92.35,12.04,42.41,30.23,14.21,36.83,24.13,31.24,3.19,5.15,1.37
7,1981,7,Arghakhanchi,620.05,92.43,19.43,84.56,26.08,23.11,29.2,23.29,26.28,2.69,4.43,1.09
8,1981,8,Arghakhanchi,309.99,92.46,19.55,88.88,25.33,23.22,28.25,22.84,25.34,2.69,4.36,1.24
9,1981,9,Arghakhanchi,184.98,93.02,17.22,85.37,23.99,21.21,27.27,21.3,23.7,2.36,3.83,0.98
10,1981,10,Arghakhanchi,11.72,93.34,10.56,62.39,21.12,13.31,26.61,17.01,19.48,1.99,3.29,0.83
11,1981,11,Arghakhanchi,36.66,93.56,7.72,57.05,17.43,8.38,23.44,13.36,15.57,1.9,2.92,0.76
12,1981,12,Arghakhanchi,1.37,93.9,4.83,44.89,14.05,1.95,20.85,10.02,11.42,2.01,3.68,0.62
13,1982,1,Arghakhanchi,57.76,93.78,4.88,44.91,14.36,2.1,21.2,10.06,12.33,2.17,3.82,0.76
14,1982,2,Arghakhanchi,22.8,93.49,5.19,46.51,14.74,2.92,21.87,9.94,13.67,2.46,4.7,0.76
15,1982,3,Arghakhanchi,36.3,93.34,6.49,43.34,19.53,6.08,26.79,13.89,19.35,2.72,4.87,0.86
16,1982,4,Arghakhanchi,32.8,92.95,7,31.58,25.72,7.26,33.38,18.81,26.01,3.4,5.83,1.42
17,1982,5,Arghakhanchi,19.03,92.91,7.82,29.13,29.07,8.87,36.44,22.24,30.27,3.34,5.92,1.38
18,1982,6,Arghakhanchi,138.72,92.39,12.88,45.34,29.99,16.09,35.8,24.3,31.18,2.67,4.55,0.95
19,1982,7,Arghakhanchi,343.76,92.37,16.71,64.65,28.54,20.51,32.98,24.59,29.26,2.86,4.84,1.1
20,1982,8,Arghakhanchi,150.33,92.51,18.72,81.27,26.12,22.52,29.41,23.23,26.18,2.45,3.96,1.12
21,1982,9,Arghakhanchi,178.89,92.91,15.86,76.74,24.35,19.74,28.65,20.97,24.04,2.31,3.89,0.89
22,1982,10,Arghakhanchi,2.55,93.51,10.39,56.72,22.47,13.21,28.36,18.08,21.78,2.02,3.19,0.77
23,1982,11,Arghakhanchi,12.51,93.63,6.59,47.71,17.89,6.3,24.59,13.47,16.38,2.12,3.64,0.79
24,1982,12,Arghakhanchi,7.29,93.71,4.2,38.42,14.44,0.23,22.11,9.77,12.25,2.29,4.47,0.82
25,1983,1,Arghakhanchi,4.66,93.83,3.58,36.59,12.87,-1.94,20.16,8.28,10.97,2.29,4.07,0.76
26,1983,2,Arghakhanchi,1.89,93.54,3.13,26.2,15.47,-3.71,23.48,9.87,14.34,2.75,4.97,0.95
27,1983,3,Arghakhanchi,5.48,93.21,3.51,20.16,21.67,-2.58,30.26,14.8,21.53,3.7,6.82,1.64
28,1983,4,Arghakhanchi,18.68,93.03,5.44,26.57,25.07,3.18,32.64,18.5,25.64,3.59,6.5,1.43
29,1983,5,Arghakhanchi,40.74,92.82,8.1,29.9,29.31,9.19,36.19,22.24,30.61,2.76,4.9,0.85
30,1983,6,Arghakhanchi,90.84,92.49,10.04,34.48,31.08,11.68,37.68,24.54,32.12,3.29,5.52,1.44
31,1983,7,Arghakhanchi,160.8,92.51,16.7,61.2,29.34,20.62,33.99,25.2,30.6,2.56,4.53,0.74
32,1983,8,Arghakhanchi,131.82,92.66,17.95,73.17,27.29,21.9,31.57,23.8,27.99,2.84,4.7,1.2
33,1983,9,Arghakhanchi,144.03,92.89,16.86,76.21,25.57,20.92,29.68,22.41,25.83,2.61,4.25,1.17
34,1983,10,Arghakhanchi,120.55,93.26,12.46,66.75,22.46,15.69,27.51,18.73,22,1.97,3.11,0.82
35,1983,11,Arghakhanchi,0,93.76,6.65,47.1,18.26,6.55,25,13.9,16.57,2.08,3.26,0.83
36,1983,12,Arghakhanchi,12.16,93.75,4.38,40.47,14.41,0.68,21.58,10.22,12.08,2.19,3.96,0.83
37,1984,1,Arghakhanchi,5.24,93.58,3.63,35.96,13.15,-2.01,20.81,8.47,11.08,2.43,4.64,0.71
38,1984,2,Arghakhanchi,25.26,93.52,3.73,31.4,15.5,-1.97,23.88,9.88,14.15,2.83,5.12,1.11
39,1984,3,Arghakhanchi,2.07,93.16,4.08,21.67,22.83,-0.33,31.7,15.78,22.25,3.23,5.95,1.26
40,1984,4,Arghakhanchi,3.09,92.86,4.52,17.74,28,1.02,36.24,20.29,28.74,3.7,6.64,1.54
41,1984,5,Arghakhanchi,16.02,92.51,7.27,25.03,30.66,5.75,38.37,23.11,32.05,3.32,5.3,1.31
42,1984,6,Arghakhanchi,172.16,92.25,15.97,59.33,28.99,19.88,33.82,24.71,30.42,2.78,4.65,1
43,1984,7,Arghakhanchi,286.21,92.46,17.83,77.03,26.25,21.74,30.12,22.96,26.88,2.69,4.41,1.14
44,1984,8,Arghakhanchi,210.33,92.51,18.08,77.28,26.45,21.98,30.33,23.12,26.74,2.52,4.15,1.03
45,1984,9,Arghakhanchi,249.44,92.94,16.12,82.65,23.4,20.04,27.13,20.47,23.04,2.68,4.33,1.21
46,1984,10,Arghakhanchi,25.6,93.3,10.47,57.06,22.35,13.07,27.91,18.01,20.96,1.95,3.05,0.7
47,1984,11,Arghakhanchi,2,93.73,5.38,39.99,17.62,3.7,24.63,13.07,15.35,2.07,3.26,0.67
48,1984,12,Arghakhanchi,5.17,93.5,4.1,36.41,14.71,-0.36,22.28,10.11,12.09,2.17,4.05,0.73
49,1985,1,Arghakhanchi,36.35,93.72,4.42,42.79,13.62,0.52,20.54,9.3,11.72,2.22,3.71,0.78
50,1985,2,Arghakhanchi,0.21,93.08,2.92,24.63,15.74,-4.68,24.4,9.89,13.68,2.64,4.91,0.88
51,1985,3,Arghakhanchi,0.03,93.05,3.02,15.42,23.38,-4.48,32.68,15.66,22.64,3.62,6.74,1.41
52,1985,4,Arghakhanchi,3.71,92.75,4.71,18.77,28.05,1.44,36.38,20.35,28.82,3.95,7,1.65
53,1985,5,Arghakhanchi,29.24,92.61,6.5,22.99,30.09,5.37,37.68,22.44,31.23,3.17,5.45,1.1
54,1985,6,Arghakhanchi,54.03,92.19,10.97,35.41,31.65,13.46,37.73,25.66,33.37,3.07,5.27,1.07
55,1985,7,Arghakhanchi,260.77,92.56,16.77,70.66,26.83,20.74,31.05,23.29,27.9,3.12,4.96,1.33
56,1985,8,Arghakhanchi,161.11,92.54,18.33,77.85,26.53,22.21,30.45,23.28,27.02,2.44,4.07,0.95
57,1985,9,Arghakhanchi,248.93,92.91,16.95,83.78,24.05,20.96,27.44,21.32,24.09,2.53,4.05,1.19
58,1985,10,Arghakhanchi,102.29,93.38,13.24,78.85,20.91,16.89,24.89,17.86,20.19,1.82,3.03,0.79
59,1985,11,Arghakhanchi,0,93.59,7.87,60.15,16.95,8.84,23.18,12.88,15.21,1.94,3.31,0.73
60,1985,12,Arghakhanchi,8.3,93.7,5.9,52.91,14.67,4.82,21.34,10.54,12.72,2.15,4.01,0.84
61,1986,1,Arghakhanchi,1.37,93.72,4.25,40.6,13.69,0.23,21.04,9.29,11.51,2.28,4.1,0.85
62,1986,2,Arghakhanchi,14.91,93.55,4.75,39.34,16.12,1.64,23.66,11.04,15.02,2.82,5.04,1.15
63,1986,3,Arghakhanchi,3.03,93.22,4.47,26.07,21.62,0.93,30.18,14.88,21.42,3.37,6.13,1.41
64,1986,4,Arghakhanchi,7.99,92.94,4.66,19.45,27.02,1.43,34.96,19.56,27.69,3.3,5.68,1.11
65,1986,5,Arghakhanchi,19.8,92.77,6.08,23.36,28.65,4.34,36.05,21.21,29.92,3.17,5.22,1.25
66,1986,6,Arghakhanchi,125.14,92.32,11.52,38.96,30.93,12.94,37.12,24.9,32.69,2.93,4.76,1.13
67,1986,7,Arghakhanchi,287.25,92.53,17.8,78.15,26.01,21.72,29.61,22.93,26.45,3.16,5.1,1.51
68,1986,8,Arghakhanchi,104.18,92.64,17.44,75.43,26.26,21.4,30.34,22.87,26.61,2.38,4,0.92
69,1986,9,Arghakhanchi,87.84,93.02,14.44,67.88,25.02,18.43,29.98,21.16,25.45,2.51,4.24,0.99
70,1986,10,Arghakhanchi,24.82,93.44,9.34,51.11,22.14,11.07,28.5,17.38,21.5,2.06,3.46,0.69
71,1986,11,Arghakhanchi,0.39,93.64,4.62,32.14,18.68,1.6,26.25,13.55,16.52,2.19,3.73,0.73
72,1986,12,Arghakhanchi,31.66,93.89,4.26,38.2,14.84,0.23,21.77,10.59,12.75,2.15,3.58,0.81
73,1987,1,Arghakhanchi,17.9,93.89,3.79,35.2,14.14,-1.39,21.65,9.44,11.84,2.15,3.78,0.81
74,1987,2,Arghakhanchi,3.44,93.73,4.02,29.69,17.67,-0.41,25.64,12.14,16.39,2.67,4.91,1.07
75,1987,3,Arghakhanchi,3.61,93.28,4.26,24.42,21.95,0.43,30.07,15.28,21.82,3.06,5.73,0.94
76,1987,4,Arghakhanchi,2.49,93.04,4.25,17.68,27.17,-0.47,35.28,19.62,27.96,3.57,5.99,1.42
77,1987,5,Arghakhanchi,30.93,92.98,6.93,27.53,28.68,7.11,36.03,21.9,29.78,3.41,5.98,1.42
78,1987,6,Arghakhanchi,12.24,92.36,8.69,26.41,32.71,9.84,39.69,25.81,34.65,3.12,5.01,1.2
79,1987,7,Arghakhanchi,291.64,92.4,17.31,67.8,28.23,21.07,32.75,24.26,29.27,2.38,4.01,0.88
80,1987,8,Arghakhanchi,212.63,92.58,18.46,80.3,26.13,22.31,30.07,22.95,26.51,2.63,4.36,1.15
81,1987,9,Arghakhanchi,204.87,92.97,17.19,82.08,24.58,21.09,28.2,21.64,24.36,1.89,3.32,0.63
82,1987,10,Arghakhanchi,109.14,93.45,11.58,67.33,21.43,14.7,26.51,17.33,20.38,1.82,3.11,0.58
83,1987,11,Arghakhanchi,0,93.6,5.94,41.88,18.2,4.47,25.1,13.5,15.22,1.76,3.16,0.52
84,1987,12,Arghakhanchi,7.05,93.91,4.35,38.15,15.15,0.35,22.28,10.73,11.92,1.82,3.48,0.61
85,1988,1,Arghakhanchi,21.03,93.69,4.08,37.21,14.4,-0.4,21.97,9.88,12.05,2.24,4.16,0.76
86,1988,2,Arghakhanchi,4.58,93.49,4.1,30.34,17.63,-0.33,25.53,12.13,16.01,2.45,4.37,0.75
87,1988,3,Arghakhanchi,24.67,93.12,4.87,28.64,21.47,1.79,29.84,14.89,21.13,3.18,5.71,1.24
88,1988,4,Arghakhanchi,17.13,93.03,4.69,18.4,28.06,1.01,36.4,20.22,28.35,3.09,5.26,1.1
89,1988,5,Arghakhanchi,23.76,92.61,7.17,24.7,30.53,6.62,38.22,22.77,31.83,3.03,4.81,1.33
90,1988,6,Arghakhanchi,87.63,92.51,13.37,46.36,30.15,16.76,35.89,24.5,31.79,2.6,4.31,0.83
91,1988,7,Arghakhanchi,487.28,92.54,19.09,82.24,26.31,22.86,29.69,23.5,26.71,2.78,4.46,1.13
92,1988,8,Arghakhanchi,396.1,92.59,19.26,87.63,25.35,23.01,28.39,22.77,25.43,2.44,4,1.07
93,1988,9,Arghakhanchi,84.39,92.91,18.06,85.27,24.77,21.99,28.33,21.89,24.7,2.39,3.98,1.03
94,1988,10,Arghakhanchi,13.66,93.24,11.46,61.7,22.61,14.5,28,18.44,21.64,1.86,2.98,0.72
95,1988,11,Arghakhanchi,0,93.75,6.27,42.23,19.08,5.76,26,14.45,17.26,2.07,3.09,0.87
96,1988,12,Arghakhanchi,15.76,93.88,4.9,41.2,15.82,2.36,22.57,11.7,13.67,2.04,3.56,0.68
97,1989,1,Arghakhanchi,28.43,93.55,3.72,38.29,12.49,-1.66,20.11,7.8,10.36,2.37,4.41,0.94
98,1989,2,Arghakhanchi,11.99,93.42,3.67,30.76,15.7,-1.79,24.21,9.75,14.47,3.36,6.43,1.4
99,1989,3,Arghakhanchi,6.43,93.22,4.09,23.89,21.38,-0.47,29.84,14.64,21.01,3.43,6.29,1.27
100,1989,4,Arghakhanchi,2.65,92.79,3.01,12.53,27,-4.36,36.13,18.6,27.34,4.36,8.06,1.74
101,1989,5,Arghakhanchi,28.91,92.65,7.36,25.67,30.25,5.88,37.75,22.95,31.58,3.56,5.88,1.39
102,1989,6,Arghakhanchi,174.79,92.5,14.16,51.03,29.65,17.74,35.1,24.4,31.18,2.78,4.52,1.05
103,1989,7,Arghakhanchi,276.25,92.55,18.15,76.68,26.67,22.06,30.53,23.31,27.31,2.82,4.72,1.15
104,1989,8,Arghakhanchi,205.25,92.68,18.34,81.91,25.68,22.23,29.3,22.64,25.96,2.59,4.17,1.25
105,1989,9,Arghakhanchi,90.51,92.89,16.9,76.89,25.44,20.95,29.6,22.01,25.69,2.25,3.88,0.79
106,1989,10,Arghakhanchi,6.57,93.32,9.48,47.35,23.6,11.24,30.14,18.68,22.86,2.08,3.21,0.79
107,1989,11,Arghakhanchi,1.79,93.76,4.59,32.72,18.29,1.43,25.95,13.22,16.5,2.37,4.11,0.9
108,1989,12,Arghakhanchi,9.78,93.91,3.54,32.02,14.81,-2.17,22.19,10.55,12.53,2.09,3.65,0.69
109,1990,1,Arghakhanchi,0.06,93.58,3.2,26.41,15.98,-3.31,24.57,10.4,13.74,2.54,5.03,0.92
110,1990,2,Arghakhanchi,36.37,93.56,4.83,39.78,16.32,1.38,23.14,11.48,15.71,2.65,4.61,0.96
111,1990,3,Arghakhanchi,3.76,93.43,4.57,28.76,20.43,1.21,28.16,14.09,20.35,2.88,4.96,1.08
112,1990,4,Arghakhanchi,6.44,92.82,4,17.22,26.87,-0.63,35.05,19.2,27.48,3.74,6.45,1.52
113,1990,5,Arghakhanchi,25.63,92.67,9,30.45,30.71,10.59,37.21,24.05,32.25,2.84,5.06,0.81
114,1990,6,Arghakhanchi,170.18,92.3,13.24,46.49,30.74,15.73,36.32,25.32,32.24,2.79,4.64,1.2
115,1990,7,Arghakhanchi,590.08,92.4,18.91,82.9,25.98,22.69,29.2,23.29,26.32,2.59,4.42,0.97
116,1990,8,Arghakhanchi,165.03,92.78,18.89,87.23,25.13,22.71,28.15,22.55,25.1,2.55,4.19,1.13
117,1990,9,Arghakhanchi,151.89,92.93,17.62,85.65,24.3,21.6,27.79,21.57,24.25,2.4,3.98,1.18
118,1990,10,Arghakhanchi,10.77,93.44,11.45,63.78,21.77,14.11,26.98,17.77,20.87,1.85,2.94,0.72
119,1990,11,Arghakhanchi,0.02,93.65,6.55,42.86,19.52,6.36,26.5,14.86,17.54,2.06,3.06,0.81
120,1990,12,Arghakhanchi,3.01,93.86,4.47,38.36,15.44,1.11,22.54,11.17,12.97,2.06,3.44,0.73
121,1991,1,Arghakhanchi,6.14,93.69,3.92,37.88,13.64,-0.92,20.97,8.91,11.76,2.24,3.92,0.9
122,1991,2,Arghakhanchi,0.72,93.6,3.59,25.19,18.51,-2.15,26.75,12.6,17.45,2.96,5.3,1.11
123,1991,3,Arghakhanchi,8.65,93.31,3.86,21.43,22.73,-1.12,31.07,16,22.53,3.08,5.29,1.13
124,1991,4,Arghakhanchi,0.53,93,3.48,14.35,27.19,-2.64,35.54,19.5,27.82,3.43,5.92,1.26
125,1991,5,Arghakhanchi,25.56,92.71,5.51,17.73,31.58,3.25,39.36,23.73,32.87,3.48,6.01,1.21
126,1991,6,Arghakhanchi,37.08,92.43,13.37,46.29,30.35,16.86,36,25.09,32.08,3.03,5.02,1.27
127,1991,7,Arghakhanchi,165.76,92.35,17.49,64.94,28.83,21.42,33.67,24.68,29.99,3.06,4.8,1.38
128,1991,8,Arghakhanchi,214.05,92.56,18.3,78.27,26.41,22.2,30.25,23.31,26.9,3.03,4.97,1.31
129,1991,9,Arghakhanchi,192.08,92.97,17.21,82.12,24.63,21.21,28.42,21.67,24.69,2.02,3.65,0.7
130,1991,10,Arghakhanchi,1.45,93.31,9.46,50.8,22.6,11.6,29.06,18.29,21.68,2.13,3.68,0.76
131,1991,11,Arghakhanchi,2.03,93.77,4.88,35.95,17.71,2.16,25.05,13.24,15.71,2.27,3.89,0.89
132,1991,12,Arghakhanchi,34.19,93.8,4.45,40.19,14.75,0.71,21.68,10.64,12.55,2.15,3.73,0.84
133,1992,1,Arghakhanchi,1.3,93.86,4.08,37.98,13.95,-0.3,21.26,9.11,11.85,2.2,4.11,0.8
134,1992,2,Arghakhanchi,2.49,93.47,3.49,30.56,15.14,-2.46,23.21,9.56,13.97,2.77,5.16,0.97
135,1992,3,Arghakhanchi,0.69,93.17,3.64,19.07,23,-1.95,31.71,15.96,22.81,4.73,8.65,2.05
136,1992,4,Arghakhanchi,0.07,93,3.77,14.74,28.04,-1.64,36.57,20.35,28.67,4.47,7.6,2.11
137,1992,5,Arghakhanchi,18.79,92.78,6.24,23.93,29.12,4.8,36.41,21.83,30.34,3.37,5.72,1.21
138,1992,6,Arghakhanchi,114.2,92.43,11.34,38.57,30.64,13.41,36.75,24.66,32.06,2.87,4.59,1.08
139,1992,7,Arghakhanchi,191.76,92.53,16,64.97,27.71,19.85,32.36,23.62,28.43,3.17,5.22,1.18
140,1992,8,Arghakhanchi,210.4,92.7,17.99,78.76,26.04,21.94,29.88,22.9,26.41,2.64,4.35,1.18
141,1992,9,Arghakhanchi,129.01,92.92,16.13,74.37,25.19,20.16,29.7,21.61,25.34,2.27,3.91,0.83
142,1992,10,Arghakhanchi,85.16,93.34,10.47,56.82,22.43,13.08,28.18,18.07,21.58,2.09,3.13,0.9
143,1992,11,Arghakhanchi,2.35,93.78,6.57,45.22,18.69,6.31,25.61,14.08,17.07,2.13,3.43,0.68
144,1992,12,Arghakhanchi,0.13,93.9,4.15,36.61,14.91,-0.01,22.05,10.47,12.35,2.01,3.54,0.72
145,1993,1,Arghakhanchi,4.89,93.63,3.87,37.3,13.51,-1.33,21.37,8.62,11.74,2.59,5.15,0.8
146,1993,2,Arghakhanchi,3.37,93.56,3.33,24.17,17.92,-3.33,25.73,12.33,16.3,2.48,4.35,0.81
147,1993,3,Arghakhanchi,34.58,93.4,4.09,26.78,19.88,-0.61,27.99,13.64,19.46,3.52,6.25,1.53
148,1993,4,Arghakhanchi,11.29,93.14,5.06,22.75,25.96,2.33,34.03,18.8,26.25,3.14,5.27,1.2
149,1993,5,Arghakhanchi,24.98,92.72,6.76,24.18,30.01,5.81,37.45,22.45,31.28,3.13,5.25,1.09
150,1993,6,Arghakhanchi,144.28,92.47,12.69,44.44,30.25,15.9,36.2,24.57,31.68,2.81,4.77,0.93
151,1993,7,Arghakhanchi,171.67,92.41,17.19,65.21,28.48,21.16,33.17,24.32,29.59,3.24,5.2,1.43
152,1993,8,Arghakhanchi,139.84,92.55,17.49,71.29,27.28,21.45,31.79,23.45,28.05,2.36,4.13,0.8
153,1993,9,Arghakhanchi,151.66,92.98,16.56,81.87,24.06,20.63,27.72,21.24,24.16,2.6,4.34,1.12
154,1993,10,Arghakhanchi,1.48,93.46,8.9,45.76,22.91,9.77,29.53,17.93,21.73,2.05,3.65,0.55
155,1993,11,Arghakhanchi,0.38,93.64,5.16,34.48,19.09,2.78,26.45,14.13,16.96,2.1,3.64,0.76
156,1993,12,Arghakhanchi,0,93.83,2.9,24.65,15.47,-4.54,23.14,10.84,12.09,1.98,3.58,0.71
157,1994,1,Arghakhanchi,22.35,93.61,3.96,33.76,15.58,-1.12,23.43,10.61,13.69,2.47,4.61,0.85
158,1994,2,Arghakhanchi,9.05,93.47,3.84,32.22,15.94,-1.38,23.91,10.43,14.91,2.8,5.34,0.98
159,1994,3,Arghakhanchi,1.9,93.21,3.31,17.06,23.27,-2.99,32.11,16.06,22.78,3.38,6.2,1.28
160,1994,4,Arghakhanchi,3.34,93.07,4.12,17.48,26.76,-0.49,34.83,19.54,27.57,3.52,6.39,1.31
161,1994,5,Arghakhanchi,6.15,92.75,6.71,22.38,30.84,6.06,38.22,23.46,32.38,3.31,5.54,1.35
162,1994,6,Arghakhanchi,113.07,92.28,13.19,45.2,30.99,15.63,36.48,25.71,32.7,2.92,4.92,0.88
163,1994,7,Arghakhanchi,240.29,92.35,17.88,69.55,28.06,21.78,32.34,24.23,28.97,2.76,4.54,1.07
164,1994,8,Arghakhanchi,125.37,92.61,18.45,76.85,26.87,22.32,30.77,23.61,27.3,2.51,4.29,0.91
165,1994,9,Arghakhanchi,157.56,92.96,15.81,73.62,24.96,19.74,29.59,21.42,25.07,2.43,4.27,0.83
166,1994,10,Arghakhanchi,5.57,93.47,8.73,47.34,22.43,10.25,29.04,17.55,21.32,2.12,3.7,0.73
167,1994,11,Arghakhanchi,0.12,93.83,5.36,36.27,19.13,3.69,26.46,14.24,17.35,2.2,3.64,0.78
168,1994,12,Arghakhanchi,0,93.83,3.37,28.76,15.28,-2.85,23.24,10.48,12.61,2.29,4.26,0.78
169,1995,1,Arghakhanchi,14.24,93.81,3.37,33.31,13.24,-2.96,20.68,8.56,11.39,2.52,4.47,0.92
170,1995,2,Arghakhanchi,13.89,93.52,3.76,29.75,16.58,-1.66,24.39,10.85,15.57,2.85,5.23,0.87
171,1995,3,Arghakhanchi,3.67,93.34,3.82,21.54,21.95,-1.44,30.23,15.33,21.97,3.53,6.49,1.48
172,1995,4,Arghakhanchi,2.9,93.03,3.75,14.81,27.42,-1.75,35.67,19.97,27.92,3.88,6.83,1.74
173,1995,5,Arghakhanchi,6.62,92.66,6.49,20.61,31.67,4.98,39.08,24.28,33.15,3.58,6.14,1.43
174,1995,6,Arghakhanchi,148.82,92.34,13.52,46.46,30.79,16.94,36.39,25.46,32.54,2.58,3.94,1.1
175,1995,7,Arghakhanchi,198.24,92.39,18.07,73.14,27.36,21.96,31.51,23.81,28.14,2.77,4.52,1.26
176,1995,8,Arghakhanchi,237.24,92.58,18.51,82,25.8,22.35,29.29,22.92,26.03,2.8,4.44,1.36
177,1995,9,Arghakhanchi,78.81,92.91,16.85,78.18,25.09,20.9,29.21,21.93,25.47,2.58,4.54,0.96
178,1995,10,Arghakhanchi,3.29,93.37,10.16,50.66,23.68,12.28,29.91,18.94,23.19,1.95,3.43,0.67
179,1995,11,Arghakhanchi,38.77,93.52,5.73,38.69,18.92,3.87,26.29,14,17.02,2.28,3.83,0.9
180,1995,12,Arghakhanchi,4.78,93.86,4.19,36.91,15.05,0.14,22.41,10.47,12.85,2.21,4.29,0.7
181,1996,1,Arghakhanchi,47.85,93.63,3.92,37.99,13.64,-1.03,21.13,9,11.52,2.47,4.87,0.8
182,1996,2,Arghakhanchi,29.94,93.54,4.6,37.37,16.44,1.06,23.86,11.12,15,2.76,4.97,1.03
183,1996,3,Arghakhanchi,1.41,93.08,5.41,29.37,22.78,3.54,30.89,16.34,22.56,3.64,6.71,1.41
184,1996,4,Arghakhanchi,32.59,93,4.82,20.23,26.55,0.67,34.78,19.02,26.7,3.27,5.56,1.32
185,1996,5,Arghakhanchi,15.66,92.64,5.84,19.17,31.05,4.27,38.88,23,32.16,3.45,5.97,1.23
186,1996,6,Arghakhanchi,107.67,92.56,13.83,49.42,29.79,17.27,35.06,24.66,31.53,2.86,4.7,1.11
187,1996,7,Arghakhanchi,166.33,92.39,17.43,70.03,27.64,21.3,31.88,23.86,28.54,2.68,4.52,1
188,1996,8,Arghakhanchi,267.12,92.69,18.03,80.13,25.83,21.95,29.41,22.96,26.25,2.49,4.22,0.99
189,1996,9,Arghakhanchi,45.4,92.83,16.92,78.57,25.1,20.93,29.09,21.86,25.34,2.03,3.67,0.71
190,1996,10,Arghakhanchi,60.83,93.34,11.43,63.09,22.28,14.61,27.58,18.42,21.91,2.06,3.68,0.66
191,1996,11,Arghakhanchi,0,93.51,5.09,35.08,18.61,2.65,26.37,13.81,16.42,2.22,4,0.73
192,1996,12,Arghakhanchi,0,93.77,3.26,29.02,14.86,-3.09,22.81,10.21,11.74,2.07,3.92,0.67
193,1997,1,Arghakhanchi,5.29,93.71,2.99,30.21,13.27,-4.32,21.04,8.48,11.19,2.45,4.44,0.87
194,1997,2,Arghakhanchi,0.03,93.38,2.45,20.9,15.67,-6.65,24.27,9.55,14.49,2.88,5.27,1.08
195,1997,3,Arghakhanchi,1.91,93.33,3.38,18.87,21.94,-3.37,30.04,15.51,21.63,3.36,5.99,1.21
196,1997,4,Arghakhanchi,27.42,93.22,5.84,28.21,24.9,4.33,32.21,18.07,25.67,3,5.26,0.91
197,1997,5,Arghakhanchi,11.08,92.78,5.43,19.57,29.65,3.02,37.36,21.93,30.89,3.54,6.23,1.31
198,1997,6,Arghakhanchi,40.91,92.47,11.42,38.02,31.04,14.3,37.08,25.01,33.08,3.16,5.54,1.08
199,1997,7,Arghakhanchi,124.14,92.37,17.47,66.93,28.34,21.4,33.02,24.39,29.76,2.67,4.64,0.89
200,1997,8,Arghakhanchi,116.01,92.62,17.11,69.86,27.3,21.1,31.95,23.51,28.32,2.87,4.95,1
201,1997,9,Arghakhanchi,61.39,93.02,15.18,67.43,25.85,19.07,30.98,21.9,26.65,2.52,4.63,0.71
202,1997,10,Arghakhanchi,11.66,93.66,8.52,46.46,22.61,10.29,28.97,18.08,22.63,2.18,3.86,0.76
203,1997,11,Arghakhanchi,4.05,93.75,5.78,38.57,19.32,4.48,26.36,14.75,18.31,2.27,4.01,0.83
204,1997,12,Arghakhanchi,27.69,93.85,4.84,44.99,14.12,1.67,20.8,10.13,12.46,2.15,3.99,0.63
205,1998,1,Arghakhanchi,3.37,93.74,3.53,34.84,13.1,-2.45,20.68,8.52,11.25,2.36,4.69,0.72
206,1998,2,Arghakhanchi,4.58,93.67,4.02,31.89,16.38,-1.18,24.21,11.13,15.65,2.85,5.29,1.17
207,1998,3,Arghakhanchi,19.59,93.4,4.7,30.61,19.76,1.2,27.36,13.74,19.7,3.3,6.15,1.05
208,1998,4,Arghakhanchi,16.95,93.18,5.15,22.26,26.65,2.57,34.56,19.37,27.18,3.11,5.34,1.18
209,1998,5,Arghakhanchi,16.01,92.8,8.32,28.25,30.86,9.2,37.95,23.94,32.5,2.95,4.77,1.04
210,1998,6,Arghakhanchi,53.97,92.44,12.33,40.2,31.72,14.44,37.68,25.82,33.65,3.18,5.18,1.27
211,1998,7,Arghakhanchi,320.18,92.43,18.93,77.67,27.15,22.71,31.14,23.81,27.97,2.94,4.93,1.18
212,1998,8,Arghakhanchi,327,92.7,19.42,87.34,25.56,23.18,28.81,22.96,25.87,2.6,4.29,1.11
213,1998,9,Arghakhanchi,89.72,93.02,17.67,82.71,24.96,21.67,28.84,21.9,25.1,2.37,3.97,0.96
214,1998,10,Arghakhanchi,58.01,93.26,13.36,66.94,23.77,16.89,28.99,19.99,23.33,1.95,3.38,0.72
215,1998,11,Arghakhanchi,1.74,93.56,7.51,47.76,19.97,8.03,26.46,15.72,18.37,1.94,3.17,0.75
216,1998,12,Arghakhanchi,0,93.78,3.87,32.98,15.45,-0.99,22.83,11.04,12.47,1.96,3.49,0.85
